epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,241.559,0.56357,0.52785,0.26904,0.36064,0.92812,0.68314,0.68421,0.46868,0.13968,0.84079,0.84211,0.71158,0.40489,2.49047,3.90513,0.26984,1.7961,3.25334,0.001076,0.001076,0.001076
72,244.601,0.51666,0.51582,0.23819,0.34411,0.91223,0.63061,0.63158,0.40644,0.14797,0.84081,0.84211,0.72126,0.40509,2.37333,3.61179,0.25637,1.82078,3.33096,0.0010628,0.0010628,0.0010628
73,247.707,0.54102,0.43699,0.24378,0.32879,0.92747,0.63062,0.63158,0.40105,0.15186,0.84083,0.84211,0.71158,0.42331,2.24035,3.65584,0.2624,1.6635,3.26061,0.0010496,0.0010496,0.0010496
74,250.736,0.53084,0.56685,0.26532,0.3317,0.93887,0.65687,0.65789,0.44974,0.16151,0.89334,0.89474,0.81184,0.44476,2.3543,3.60934,0.25125,1.65892,3.25133,0.0010364,0.0010364,0.0010364
75,253.821,0.54575,0.53204,0.25323,0.33388,0.93226,0.68313,0.68421,0.47539,0.15978,0.86705,0.86842,0.75118,0.4247,2.50482,3.60582,0.31403,1.8449,3.40802,0.0010232,0.0010232,0.0010232
76,256.984,0.54636,0.59053,0.26431,0.3326,0.89918,0.65689,0.65789,0.43947,0.15572,0.84082,0.84211,0.7247,0.42598,2.47906,3.81589,0.25764,1.81834,3.26516,0.00101,0.00101,0.00101
77,260.028,0.53165,0.50076,0.2499,0.32421,0.92619,0.63062,0.63158,0.40105,0.15012,0.8671,0.86842,0.75447,0.43,2.37334,3.9529,0.24798,1.88573,3.18491,0.0009968,0.0009968,0.0009968
78,263.046,0.53355,0.46075,0.28195,0.32905,0.91378,0.6569,0.65789,0.44216,0.14172,0.84083,0.84211,0.74964,0.42913,2.47536,3.92564,0.25069,1.86123,3.39756,0.0009836,0.0009836,0.0009836
79,266.068,0.48563,0.50142,0.2736,0.31356,0.9195,0.65689,0.65789,0.47477,0.15733,0.84082,0.84211,0.73124,0.44855,2.40591,4.01278,0.29276,1.81817,3.25879,0.0009704,0.0009704,0.0009704
80,269.159,0.47759,0.4844,0.2485,0.31379,0.88737,0.65688,0.65789,0.45877,0.16641,0.84081,0.84211,0.7591,0.44686,2.34056,3.91271,0.23746,1.73889,3.21921,0.0009572,0.0009572,0.0009572
